CAS	phenotype	source	concentration	duration
26040-51-7	MORT	Tanguay	AC50	5dpf
68937-41-7	MORT	Tanguay	AC50	5dpf
56-38-2	MORT	Tanguay	AC50	5dpf
860302-33-6	MORT	Tanguay	AC50	5dpf
1330-78-5	MORT	Tanguay	AC50	5dpf
80-05-7	MORT	Tanguay	AC50	5dpf
215-58-7	MORT	Tanguay	AC50	5dpf
129-00-0	MORT	Tanguay	AC50	5dpf
56803-37-3	MORT	Tanguay	AC50	5dpf
63-25-2	MORT	Tanguay	AC50	5dpf
56-55-3	MORT	Tanguay	AC50	5dpf
83-79-4	YSE_	Tanguay	AC50	5dpf
70-30-4	YSE_	Tanguay	AC50	5dpf
2465-27-2	YSE_	Tanguay	AC50	5dpf
79-94-7	YSE_	Tanguay	AC50	5dpf
115-09-3	YSE_	Tanguay	AC50	5dpf
56-53-1	YSE_	Tanguay	AC50	5dpf
68937-41-7	YSE_	Tanguay	AC50	5dpf
2001-95-8	YSE_	Tanguay	AC50	5dpf
50-28-2	YSE_	Tanguay	AC50	5dpf
115-86-6	YSE_	Tanguay	AC50	5dpf
55406-53-6	YSE_	Tanguay	AC50	5dpf
439-14-5	YSE_	Tanguay	AC50	5dpf
860302-33-6	YSE_	Tanguay	AC50	5dpf
80-05-7	YSE_	Tanguay	AC50	5dpf
56-38-2	YSE_	Tanguay	AC50	5dpf
56803-37-3	YSE_	Tanguay	AC50	5dpf
56-55-3	YSE_	Tanguay	AC50	5dpf
1330-78-5	YSE_	Tanguay	AC50	5dpf
50-29-3	YSE_	Tanguay	AC50	5dpf
1241-94-7	YSE_	Tanguay	AC50	5dpf
107534-96-3	YSE_	Tanguay	AC50	5dpf
116-06-3	YSE_	Tanguay	AC50	5dpf
26040-51-7	YSE_	Tanguay	AC50	5dpf
52645-53-1	YSE_	Tanguay	AC50	5dpf
63-25-2	YSE_	Tanguay	AC50	5dpf
129-00-0	YSE_	Tanguay	AC50	5dpf
83-79-4	AXIS	Tanguay	AC50	5dpf
1746-01-6	AXIS	Tanguay	AC50	5dpf
70-30-4	AXIS	Tanguay	AC50	5dpf
55406-53-6	AXIS	Tanguay	AC50	5dpf
2465-27-2	AXIS	Tanguay	AC50	5dpf
79-94-7	AXIS	Tanguay	AC50	5dpf
115-09-3	AXIS	Tanguay	AC50	5dpf
56-53-1	AXIS	Tanguay	AC50	5dpf
50-28-2	AXIS	Tanguay	AC50	5dpf
68937-41-7	AXIS	Tanguay	AC50	5dpf
115-86-6	AXIS	Tanguay	AC50	5dpf
116-06-3	AXIS	Tanguay	AC50	5dpf
439-14-5	AXIS	Tanguay	AC50	5dpf
56803-37-3	AXIS	Tanguay	AC50	5dpf
52645-53-1	AXIS	Tanguay	AC50	5dpf
56-38-2	AXIS	Tanguay	AC50	5dpf
860302-33-6	AXIS	Tanguay	AC50	5dpf
80-05-7	AXIS	Tanguay	AC50	5dpf
60-57-1	AXIS	Tanguay	AC50	5dpf
50-29-3	AXIS	Tanguay	AC50	5dpf
1241-94-7	AXIS	Tanguay	AC50	5dpf
107534-96-3	AXIS	Tanguay	AC50	5dpf
1330-78-5	AXIS	Tanguay	AC50	5dpf
26040-51-7	AXIS	Tanguay	AC50	5dpf
83-79-4	EYE_	Tanguay	AC50	5dpf
70-30-4	EYE_	Tanguay	AC50	5dpf
2465-27-2	EYE_	Tanguay	AC50	5dpf
55406-53-6	EYE_	Tanguay	AC50	5dpf
79-94-7	EYE_	Tanguay	AC50	5dpf
115-09-3	EYE_	Tanguay	AC50	5dpf
68937-41-7	EYE_	Tanguay	AC50	5dpf
56-53-1	EYE_	Tanguay	AC50	5dpf
115-86-6	EYE_	Tanguay	AC50	5dpf
50-28-2	EYE_	Tanguay	AC50	5dpf
52645-53-1	EYE_	Tanguay	AC50	5dpf
439-14-5	EYE_	Tanguay	AC50	5dpf
80-05-7	EYE_	Tanguay	AC50	5dpf
56803-37-3	EYE_	Tanguay	AC50	5dpf
860302-33-6	EYE_	Tanguay	AC50	5dpf
56-38-2	EYE_	Tanguay	AC50	5dpf
60-57-1	EYE_	Tanguay	AC50	5dpf
107534-96-3	EYE_	Tanguay	AC50	5dpf
1241-94-7	EYE_	Tanguay	AC50	5dpf
1330-78-5	EYE_	Tanguay	AC50	5dpf
26040-51-7	EYE_	Tanguay	AC50	5dpf
50-29-3	EYE_	Tanguay	AC50	5dpf
83-79-4	SNOU	Tanguay	AC50	5dpf
70-30-4	SNOU	Tanguay	AC50	5dpf
2465-27-2	SNOU	Tanguay	AC50	5dpf
79-94-7	SNOU	Tanguay	AC50	5dpf
115-09-3	SNOU	Tanguay	AC50	5dpf
68937-41-7	SNOU	Tanguay	AC50	5dpf
56-53-1	SNOU	Tanguay	AC50	5dpf
115-86-6	SNOU	Tanguay	AC50	5dpf
50-28-2	SNOU	Tanguay	AC50	5dpf
52645-53-1	SNOU	Tanguay	AC50	5dpf
439-14-5	SNOU	Tanguay	AC50	5dpf
56803-37-3	SNOU	Tanguay	AC50	5dpf
80-05-7	SNOU	Tanguay	AC50	5dpf
56-38-2	SNOU	Tanguay	AC50	5dpf
860302-33-6	SNOU	Tanguay	AC50	5dpf
60-57-1	SNOU	Tanguay	AC50	5dpf
1330-78-5	SNOU	Tanguay	AC50	5dpf
107534-96-3	SNOU	Tanguay	AC50	5dpf
1241-94-7	SNOU	Tanguay	AC50	5dpf
50-29-3	SNOU	Tanguay	AC50	5dpf
26040-51-7	SNOU	Tanguay	AC50	5dpf
56-55-3	SNOU	Tanguay	AC50	5dpf
83-79-4	JAW_	Tanguay	AC50	5dpf
70-30-4	JAW_	Tanguay	AC50	5dpf
55406-53-6	JAW_	Tanguay	AC50	5dpf
2465-27-2	JAW_	Tanguay	AC50	5dpf
79-94-7	JAW_	Tanguay	AC50	5dpf
56-53-1	JAW_	Tanguay	AC50	5dpf
115-09-3	JAW_	Tanguay	AC50	5dpf
68937-41-7	JAW_	Tanguay	AC50	5dpf
115-86-6	JAW_	Tanguay	AC50	5dpf
50-28-2	JAW_	Tanguay	AC50	5dpf
52645-53-1	JAW_	Tanguay	AC50	5dpf
439-14-5	JAW_	Tanguay	AC50	5dpf
860302-33-6	JAW_	Tanguay	AC50	5dpf
56803-37-3	JAW_	Tanguay	AC50	5dpf
56-38-2	JAW_	Tanguay	AC50	5dpf
80-05-7	JAW_	Tanguay	AC50	5dpf
60-57-1	JAW_	Tanguay	AC50	5dpf
1241-94-7	JAW_	Tanguay	AC50	5dpf
107534-96-3	JAW_	Tanguay	AC50	5dpf
1330-78-5	JAW_	Tanguay	AC50	5dpf
50-29-3	JAW_	Tanguay	AC50	5dpf
26040-51-7	JAW_	Tanguay	AC50	5dpf
56-55-3	JAW_	Tanguay	AC50	5dpf
70-30-4	OTIC	Tanguay	AC50	5dpf
2465-27-2	OTIC	Tanguay	AC50	5dpf
68937-41-7	OTIC	Tanguay	AC50	5dpf
115-86-6	OTIC	Tanguay	AC50	5dpf
50-28-2	OTIC	Tanguay	AC50	5dpf
52918-63-5	OTIC	Tanguay	AC50	5dpf
56803-37-3	OTIC	Tanguay	AC50	5dpf
860302-33-6	OTIC	Tanguay	AC50	5dpf
107534-96-3	OTIC	Tanguay	AC50	5dpf
1330-78-5	OTIC	Tanguay	AC50	5dpf
1746-01-6	PE__	Tanguay	AC50	5dpf
83-79-4	PE__	Tanguay	AC50	5dpf
70-30-4	PE__	Tanguay	AC50	5dpf
2465-27-2	PE__	Tanguay	AC50	5dpf
115-09-3	PE__	Tanguay	AC50	5dpf
79-94-7	PE__	Tanguay	AC50	5dpf
56-53-1	PE__	Tanguay	AC50	5dpf
68937-41-7	PE__	Tanguay	AC50	5dpf
115-86-6	PE__	Tanguay	AC50	5dpf
50-28-2	PE__	Tanguay	AC50	5dpf
439-14-5	PE__	Tanguay	AC50	5dpf
860302-33-6	PE__	Tanguay	AC50	5dpf
56-38-2	PE__	Tanguay	AC50	5dpf
80-05-7	PE__	Tanguay	AC50	5dpf
56803-37-3	PE__	Tanguay	AC50	5dpf
50-29-3	PE__	Tanguay	AC50	5dpf
1330-78-5	PE__	Tanguay	AC50	5dpf
1241-94-7	PE__	Tanguay	AC50	5dpf
107534-96-3	PE__	Tanguay	AC50	5dpf
26040-51-7	PE__	Tanguay	AC50	5dpf
83-79-4	BRAI	Tanguay	AC50	5dpf
1746-01-6	BRAI	Tanguay	AC50	5dpf
55406-53-6	BRAI	Tanguay	AC50	5dpf
2465-27-2	BRAI	Tanguay	AC50	5dpf
79-94-7	BRAI	Tanguay	AC50	5dpf
68937-41-7	BRAI	Tanguay	AC50	5dpf
115-86-6	BRAI	Tanguay	AC50	5dpf
50-28-2	BRAI	Tanguay	AC50	5dpf
56803-37-3	BRAI	Tanguay	AC50	5dpf
860302-33-6	BRAI	Tanguay	AC50	5dpf
107534-96-3	BRAI	Tanguay	AC50	5dpf
1330-78-5	BRAI	Tanguay	AC50	5dpf
80-05-7	BRAI	Tanguay	AC50	5dpf
70-30-4	SOMI	Tanguay	AC50	5dpf
79-94-7	SOMI	Tanguay	AC50	5dpf
2465-27-2	SOMI	Tanguay	AC50	5dpf
50-28-2	SOMI	Tanguay	AC50	5dpf
860302-33-6	SOMI	Tanguay	AC50	5dpf
83-79-4	PFIN	Tanguay	AC50	5dpf
70-30-4	PFIN	Tanguay	AC50	5dpf
2465-27-2	PFIN	Tanguay	AC50	5dpf
79-94-7	PFIN	Tanguay	AC50	5dpf
56-53-1	PFIN	Tanguay	AC50	5dpf
115-09-3	PFIN	Tanguay	AC50	5dpf
68937-41-7	PFIN	Tanguay	AC50	5dpf
115-86-6	PFIN	Tanguay	AC50	5dpf
50-28-2	PFIN	Tanguay	AC50	5dpf
55406-53-6	PFIN	Tanguay	AC50	5dpf
439-14-5	PFIN	Tanguay	AC50	5dpf
860302-33-6	PFIN	Tanguay	AC50	5dpf
80-05-7	PFIN	Tanguay	AC50	5dpf
56803-37-3	PFIN	Tanguay	AC50	5dpf
56-38-2	PFIN	Tanguay	AC50	5dpf
56-55-3	PFIN	Tanguay	AC50	5dpf
60-57-1	PFIN	Tanguay	AC50	5dpf
1241-94-7	PFIN	Tanguay	AC50	5dpf
107534-96-3	PFIN	Tanguay	AC50	5dpf
1330-78-5	PFIN	Tanguay	AC50	5dpf
26040-51-7	PFIN	Tanguay	AC50	5dpf
63-25-2	PFIN	Tanguay	AC50	5dpf
1746-01-6	CFIN	Tanguay	AC50	5dpf
83-79-4	CFIN	Tanguay	AC50	5dpf
70-30-4	CFIN	Tanguay	AC50	5dpf
55406-53-6	CFIN	Tanguay	AC50	5dpf
79-94-7	CFIN	Tanguay	AC50	5dpf
2465-27-2	CFIN	Tanguay	AC50	5dpf
115-09-3	CFIN	Tanguay	AC50	5dpf
68937-41-7	CFIN	Tanguay	AC50	5dpf
115-86-6	CFIN	Tanguay	AC50	5dpf
56-53-1	CFIN	Tanguay	AC50	5dpf
50-28-2	CFIN	Tanguay	AC50	5dpf
56803-37-3	CFIN	Tanguay	AC50	5dpf
860302-33-6	CFIN	Tanguay	AC50	5dpf
439-14-5	CFIN	Tanguay	AC50	5dpf
56-38-2	CFIN	Tanguay	AC50	5dpf
80-05-7	CFIN	Tanguay	AC50	5dpf
207-08-9	CFIN	Tanguay	AC50	5dpf
52645-53-1	CFIN	Tanguay	AC50	5dpf
60-57-1	CFIN	Tanguay	AC50	5dpf
107534-96-3	CFIN	Tanguay	AC50	5dpf
1241-94-7	CFIN	Tanguay	AC50	5dpf
53-70-3	CFIN	Tanguay	AC50	5dpf
26040-51-7	CFIN	Tanguay	AC50	5dpf
1746-01-6	TRUN	Tanguay	AC50	5dpf
70-30-4	TRUN	Tanguay	AC50	5dpf
55406-53-6	TRUN	Tanguay	AC50	5dpf
79-94-7	TRUN	Tanguay	AC50	5dpf
2465-27-2	TRUN	Tanguay	AC50	5dpf
115-09-3	TRUN	Tanguay	AC50	5dpf
56-53-1	TRUN	Tanguay	AC50	5dpf
68937-41-7	TRUN	Tanguay	AC50	5dpf
115-86-6	TRUN	Tanguay	AC50	5dpf
50-28-2	TRUN	Tanguay	AC50	5dpf
439-14-5	TRUN	Tanguay	AC50	5dpf
56803-37-3	TRUN	Tanguay	AC50	5dpf
56-38-2	TRUN	Tanguay	AC50	5dpf
860302-33-6	TRUN	Tanguay	AC50	5dpf
80-05-7	TRUN	Tanguay	AC50	5dpf
60-57-1	TRUN	Tanguay	AC50	5dpf
1241-94-7	TRUN	Tanguay	AC50	5dpf
26040-51-7	TRUN	Tanguay	AC50	5dpf
2465-27-2	SWIM	Tanguay	AC50	5dpf
97-77-8	NC__	Tanguay	AC50	5dpf
55406-53-6	NC__	Tanguay	AC50	5dpf
79-94-7	NC__	Tanguay	AC50	5dpf
1746-01-6	MORT	Tanguay	LEL	5dpf
83-79-4	MORT	Tanguay	LEL	5dpf
70-30-4	MORT	Tanguay	LEL	5dpf
115-09-3	MORT	Tanguay	LEL	5dpf
2001-95-8	MORT	Tanguay	LEL	5dpf
129-00-0	MORT	Tanguay	LEL	5dpf
55406-53-6	MORT	Tanguay	LEL	5dpf
56-53-1	MORT	Tanguay	LEL	5dpf
56-55-3	MORT	Tanguay	LEL	5dpf
79-94-7	MORT	Tanguay	LEL	5dpf
2465-27-2	MORT	Tanguay	LEL	5dpf
2921-88-2	MORT	Tanguay	LEL	5dpf
115-86-6	MORT	Tanguay	LEL	5dpf
1478-61-1	MORT	Tanguay	LEL	5dpf
26040-51-7	MORT	Tanguay	LEL	5dpf
50-28-2	MORT	Tanguay	LEL	5dpf
68937-41-7	MORT	Tanguay	LEL	5dpf
1330-78-5	MORT	Tanguay	LEL	5dpf
439-14-5	MORT	Tanguay	LEL	5dpf
56-38-2	MORT	Tanguay	LEL	5dpf
56803-37-3	MORT	Tanguay	LEL	5dpf
107534-96-3	MORT	Tanguay	LEL	5dpf
1241-94-7	MORT	Tanguay	LEL	5dpf
207-08-9	MORT	Tanguay	LEL	5dpf
215-58-7	MORT	Tanguay	LEL	5dpf
218-01-9	MORT	Tanguay	LEL	5dpf
60-57-1	MORT	Tanguay	LEL	5dpf
63-25-2	MORT	Tanguay	LEL	5dpf
80-05-7	MORT	Tanguay	LEL	5dpf
860302-33-6	MORT	Tanguay	LEL	5dpf
1746-01-6	YSE_	Tanguay	LEL	5dpf
83-79-4	YSE_	Tanguay	LEL	5dpf
70-30-4	YSE_	Tanguay	LEL	5dpf
97-77-8	YSE_	Tanguay	LEL	5dpf
115-09-3	YSE_	Tanguay	LEL	5dpf
52918-63-5	YSE_	Tanguay	LEL	5dpf
56-53-1	YSE_	Tanguay	LEL	5dpf
79-94-7	YSE_	Tanguay	LEL	5dpf
2465-27-2	YSE_	Tanguay	LEL	5dpf
116-06-3	YSE_	Tanguay	LEL	5dpf
115-86-6	YSE_	Tanguay	LEL	5dpf
1478-61-1	YSE_	Tanguay	LEL	5dpf
50-28-2	YSE_	Tanguay	LEL	5dpf
68937-41-7	YSE_	Tanguay	LEL	5dpf
439-14-5	YSE_	Tanguay	LEL	5dpf
860302-33-6	YSE_	Tanguay	LEL	5dpf
50-29-3	YSE_	Tanguay	LEL	5dpf
56-55-3	YSE_	Tanguay	LEL	5dpf
1330-78-5	YSE_	Tanguay	LEL	5dpf
56-38-2	YSE_	Tanguay	LEL	5dpf
56803-37-3	YSE_	Tanguay	LEL	5dpf
1241-94-7	YSE_	Tanguay	LEL	5dpf
80-05-7	YSE_	Tanguay	LEL	5dpf
52645-53-1	YSE_	Tanguay	LEL	5dpf
129-00-0	YSE_	Tanguay	LEL	5dpf
107534-96-3	YSE_	Tanguay	LEL	5dpf
207-08-9	YSE_	Tanguay	LEL	5dpf
60-57-1	YSE_	Tanguay	LEL	5dpf
63-25-2	YSE_	Tanguay	LEL	5dpf
53-70-3	YSE_	Tanguay	LEL	5dpf
58-89-9	YSE_	Tanguay	LEL	5dpf
1746-01-6	AXIS	Tanguay	LEL	5dpf
70-30-4	AXIS	Tanguay	LEL	5dpf
52918-63-5	AXIS	Tanguay	LEL	5dpf
55406-53-6	AXIS	Tanguay	LEL	5dpf
79-94-7	AXIS	Tanguay	LEL	5dpf
2465-27-2	AXIS	Tanguay	LEL	5dpf
116-06-3	AXIS	Tanguay	LEL	5dpf
115-86-6	AXIS	Tanguay	LEL	5dpf
50-28-2	AXIS	Tanguay	LEL	5dpf
68937-41-7	AXIS	Tanguay	LEL	5dpf
60-57-1	AXIS	Tanguay	LEL	5dpf
439-14-5	AXIS	Tanguay	LEL	5dpf
50-29-3	AXIS	Tanguay	LEL	5dpf
1330-78-5	AXIS	Tanguay	LEL	5dpf
52645-53-1	AXIS	Tanguay	LEL	5dpf
860302-33-6	AXIS	Tanguay	LEL	5dpf
56-38-2	AXIS	Tanguay	LEL	5dpf
56803-37-3	AXIS	Tanguay	LEL	5dpf
80-05-7	AXIS	Tanguay	LEL	5dpf
1241-94-7	AXIS	Tanguay	LEL	5dpf
129-00-0	AXIS	Tanguay	LEL	5dpf
107534-96-3	AXIS	Tanguay	LEL	5dpf
58-89-9	AXIS	Tanguay	LEL	5dpf
1746-01-6	EYE_	Tanguay	LEL	5dpf
70-30-4	EYE_	Tanguay	LEL	5dpf
97-77-8	EYE_	Tanguay	LEL	5dpf
52918-63-5	EYE_	Tanguay	LEL	5dpf
79-94-7	EYE_	Tanguay	LEL	5dpf
2465-27-2	EYE_	Tanguay	LEL	5dpf
115-86-6	EYE_	Tanguay	LEL	5dpf
68937-41-7	EYE_	Tanguay	LEL	5dpf
60-57-1	EYE_	Tanguay	LEL	5dpf
52645-53-1	EYE_	Tanguay	LEL	5dpf
50-28-2	EYE_	Tanguay	LEL	5dpf
50-29-3	EYE_	Tanguay	LEL	5dpf
1330-78-5	EYE_	Tanguay	LEL	5dpf
860302-33-6	EYE_	Tanguay	LEL	5dpf
56-38-2	EYE_	Tanguay	LEL	5dpf
56803-37-3	EYE_	Tanguay	LEL	5dpf
80-05-7	EYE_	Tanguay	LEL	5dpf
1241-94-7	EYE_	Tanguay	LEL	5dpf
107534-96-3	EYE_	Tanguay	LEL	5dpf
53-70-3	EYE_	Tanguay	LEL	5dpf
1746-01-6	SNOU	Tanguay	LEL	5dpf
70-30-4	SNOU	Tanguay	LEL	5dpf
97-77-8	SNOU	Tanguay	LEL	5dpf
52918-63-5	SNOU	Tanguay	LEL	5dpf
2465-27-2	SNOU	Tanguay	LEL	5dpf
68937-41-7	SNOU	Tanguay	LEL	5dpf
115-86-6	SNOU	Tanguay	LEL	5dpf
60-57-1	SNOU	Tanguay	LEL	5dpf
52645-53-1	SNOU	Tanguay	LEL	5dpf
50-28-2	SNOU	Tanguay	LEL	5dpf
50-29-3	SNOU	Tanguay	LEL	5dpf
1330-78-5	SNOU	Tanguay	LEL	5dpf
860302-33-6	SNOU	Tanguay	LEL	5dpf
56-38-2	SNOU	Tanguay	LEL	5dpf
56803-37-3	SNOU	Tanguay	LEL	5dpf
80-05-7	SNOU	Tanguay	LEL	5dpf
1241-94-7	SNOU	Tanguay	LEL	5dpf
107534-96-3	SNOU	Tanguay	LEL	5dpf
53-70-3	SNOU	Tanguay	LEL	5dpf
129-00-0	SNOU	Tanguay	LEL	5dpf
56-55-3	SNOU	Tanguay	LEL	5dpf
207-08-9	SNOU	Tanguay	LEL	5dpf
1746-01-6	JAW_	Tanguay	LEL	5dpf
70-30-4	JAW_	Tanguay	LEL	5dpf
52918-63-5	JAW_	Tanguay	LEL	5dpf
2465-27-2	JAW_	Tanguay	LEL	5dpf
68937-41-7	JAW_	Tanguay	LEL	5dpf
116-06-3	JAW_	Tanguay	LEL	5dpf
56-53-1	JAW_	Tanguay	LEL	5dpf
115-86-6	JAW_	Tanguay	LEL	5dpf
60-57-1	JAW_	Tanguay	LEL	5dpf
52645-53-1	JAW_	Tanguay	LEL	5dpf
50-28-2	JAW_	Tanguay	LEL	5dpf
50-29-3	JAW_	Tanguay	LEL	5dpf
439-14-5	JAW_	Tanguay	LEL	5dpf
1330-78-5	JAW_	Tanguay	LEL	5dpf
860302-33-6	JAW_	Tanguay	LEL	5dpf
56-38-2	JAW_	Tanguay	LEL	5dpf
56803-37-3	JAW_	Tanguay	LEL	5dpf
80-05-7	JAW_	Tanguay	LEL	5dpf
1241-94-7	JAW_	Tanguay	LEL	5dpf
56-55-3	JAW_	Tanguay	LEL	5dpf
107534-96-3	JAW_	Tanguay	LEL	5dpf
53-70-3	JAW_	Tanguay	LEL	5dpf
129-00-0	JAW_	Tanguay	LEL	5dpf
207-08-9	JAW_	Tanguay	LEL	5dpf
70-30-4	OTIC	Tanguay	LEL	5dpf
52918-63-5	OTIC	Tanguay	LEL	5dpf
2465-27-2	OTIC	Tanguay	LEL	5dpf
68937-41-7	OTIC	Tanguay	LEL	5dpf
115-86-6	OTIC	Tanguay	LEL	5dpf
50-28-2	OTIC	Tanguay	LEL	5dpf
1330-78-5	OTIC	Tanguay	LEL	5dpf
56803-37-3	OTIC	Tanguay	LEL	5dpf
860302-33-6	OTIC	Tanguay	LEL	5dpf
107534-96-3	OTIC	Tanguay	LEL	5dpf
1746-01-6	PE__	Tanguay	LEL	5dpf
70-30-4	PE__	Tanguay	LEL	5dpf
52918-63-5	PE__	Tanguay	LEL	5dpf
115-09-3	PE__	Tanguay	LEL	5dpf
2465-27-2	PE__	Tanguay	LEL	5dpf
68937-41-7	PE__	Tanguay	LEL	5dpf
56-53-1	PE__	Tanguay	LEL	5dpf
79-94-7	PE__	Tanguay	LEL	5dpf
115-86-6	PE__	Tanguay	LEL	5dpf
50-28-2	PE__	Tanguay	LEL	5dpf
1330-78-5	PE__	Tanguay	LEL	5dpf
56803-37-3	PE__	Tanguay	LEL	5dpf
860302-33-6	PE__	Tanguay	LEL	5dpf
60-57-1	PE__	Tanguay	LEL	5dpf
50-29-3	PE__	Tanguay	LEL	5dpf
439-14-5	PE__	Tanguay	LEL	5dpf
26040-51-7	PE__	Tanguay	LEL	5dpf
116-06-3	PE__	Tanguay	LEL	5dpf
56-38-2	PE__	Tanguay	LEL	5dpf
80-05-7	PE__	Tanguay	LEL	5dpf
1241-94-7	PE__	Tanguay	LEL	5dpf
107534-96-3	PE__	Tanguay	LEL	5dpf
52645-53-1	PE__	Tanguay	LEL	5dpf
53-70-3	PE__	Tanguay	LEL	5dpf
129-00-0	PE__	Tanguay	LEL	5dpf
207-08-9	PE__	Tanguay	LEL	5dpf
58-89-9	PE__	Tanguay	LEL	5dpf
1746-01-6	BRAI	Tanguay	LEL	5dpf
70-30-4	BRAI	Tanguay	LEL	5dpf
52918-63-5	BRAI	Tanguay	LEL	5dpf
2465-27-2	BRAI	Tanguay	LEL	5dpf
68937-41-7	BRAI	Tanguay	LEL	5dpf
115-86-6	BRAI	Tanguay	LEL	5dpf
50-28-2	BRAI	Tanguay	LEL	5dpf
1330-78-5	BRAI	Tanguay	LEL	5dpf
56803-37-3	BRAI	Tanguay	LEL	5dpf
860302-33-6	BRAI	Tanguay	LEL	5dpf
107534-96-3	BRAI	Tanguay	LEL	5dpf
70-30-4	SOMI	Tanguay	LEL	5dpf
50-28-2	SOMI	Tanguay	LEL	5dpf
1746-01-6	PFIN	Tanguay	LEL	5dpf
70-30-4	PFIN	Tanguay	LEL	5dpf
52918-63-5	PFIN	Tanguay	LEL	5dpf
2465-27-2	PFIN	Tanguay	LEL	5dpf
68937-41-7	PFIN	Tanguay	LEL	5dpf
56-53-1	PFIN	Tanguay	LEL	5dpf
79-94-7	PFIN	Tanguay	LEL	5dpf
115-86-6	PFIN	Tanguay	LEL	5dpf
60-57-1	PFIN	Tanguay	LEL	5dpf
50-28-2	PFIN	Tanguay	LEL	5dpf
1330-78-5	PFIN	Tanguay	LEL	5dpf
439-14-5	PFIN	Tanguay	LEL	5dpf
26040-51-7	PFIN	Tanguay	LEL	5dpf
116-06-3	PFIN	Tanguay	LEL	5dpf
56803-37-3	PFIN	Tanguay	LEL	5dpf
860302-33-6	PFIN	Tanguay	LEL	5dpf
50-29-3	PFIN	Tanguay	LEL	5dpf
56-38-2	PFIN	Tanguay	LEL	5dpf
80-05-7	PFIN	Tanguay	LEL	5dpf
1241-94-7	PFIN	Tanguay	LEL	5dpf
52645-53-1	PFIN	Tanguay	LEL	5dpf
56-55-3	PFIN	Tanguay	LEL	5dpf
107534-96-3	PFIN	Tanguay	LEL	5dpf
53-70-3	PFIN	Tanguay	LEL	5dpf
207-08-9	PFIN	Tanguay	LEL	5dpf
63-25-2	PFIN	Tanguay	LEL	5dpf
1746-01-6	CFIN	Tanguay	LEL	5dpf
56-35-9	CFIN	Tanguay	LEL	5dpf
70-30-4	CFIN	Tanguay	LEL	5dpf
52918-63-5	CFIN	Tanguay	LEL	5dpf
116-06-3	CFIN	Tanguay	LEL	5dpf
55406-53-6	CFIN	Tanguay	LEL	5dpf
2465-27-2	CFIN	Tanguay	LEL	5dpf
79-94-7	CFIN	Tanguay	LEL	5dpf
68937-41-7	CFIN	Tanguay	LEL	5dpf
115-86-6	CFIN	Tanguay	LEL	5dpf
60-57-1	CFIN	Tanguay	LEL	5dpf
207-08-9	CFIN	Tanguay	LEL	5dpf
50-28-2	CFIN	Tanguay	LEL	5dpf
56803-37-3	CFIN	Tanguay	LEL	5dpf
50-29-3	CFIN	Tanguay	LEL	5dpf
52645-53-1	CFIN	Tanguay	LEL	5dpf
860302-33-6	CFIN	Tanguay	LEL	5dpf
56-38-2	CFIN	Tanguay	LEL	5dpf
80-05-7	CFIN	Tanguay	LEL	5dpf
53-70-3	CFIN	Tanguay	LEL	5dpf
1241-94-7	CFIN	Tanguay	LEL	5dpf
107534-96-3	CFIN	Tanguay	LEL	5dpf
58-89-9	CFIN	Tanguay	LEL	5dpf
1746-01-6	TRUN	Tanguay	LEL	5dpf
70-30-4	TRUN	Tanguay	LEL	5dpf
97-77-8	TRUN	Tanguay	LEL	5dpf
52918-63-5	TRUN	Tanguay	LEL	5dpf
116-06-3	TRUN	Tanguay	LEL	5dpf
55406-53-6	TRUN	Tanguay	LEL	5dpf
2465-27-2	TRUN	Tanguay	LEL	5dpf
68937-41-7	TRUN	Tanguay	LEL	5dpf
115-86-6	TRUN	Tanguay	LEL	5dpf
60-57-1	TRUN	Tanguay	LEL	5dpf
50-28-2	TRUN	Tanguay	LEL	5dpf
56803-37-3	TRUN	Tanguay	LEL	5dpf
52645-53-1	TRUN	Tanguay	LEL	5dpf
50-29-3	TRUN	Tanguay	LEL	5dpf
860302-33-6	TRUN	Tanguay	LEL	5dpf
56-38-2	TRUN	Tanguay	LEL	5dpf
80-05-7	TRUN	Tanguay	LEL	5dpf
1241-94-7	TRUN	Tanguay	LEL	5dpf
1330-78-5	TRUN	Tanguay	LEL	5dpf
207-08-9	TRUN	Tanguay	LEL	5dpf
53-70-3	TRUN	Tanguay	LEL	5dpf
97-77-8	NC__	Tanguay	LEL	5dpf
116-06-3	NC__	Tanguay	LEL	5dpf
55406-53-6	NC__	Tanguay	LEL	5dpf
60-57-1	NC__	Tanguay	LEL	5dpf
83-79-4	Mortality	Tanguay	AC50	1dpf
70-30-4	Mortality	Tanguay	AC50	1dpf
2001-95-8	Mortality	Tanguay	AC50	1dpf
55406-53-6	Mortality	Tanguay	AC50	1dpf
56-53-1	Mortality	Tanguay	AC50	1dpf
2465-27-2	Mortality	Tanguay	AC50	1dpf
26040-51-7	Mortality	Tanguay	AC50	1dpf
1478-61-1	Mortality	Tanguay	AC50	1dpf
50-28-2	Mortality	Tanguay	AC50	1dpf
79-94-7	Mortality	Tanguay	AC50	1dpf
68937-41-7	Mortality	Tanguay	AC50	1dpf
115-86-6	Mortality	Tanguay	AC50	1dpf
215-58-7	Mortality	Tanguay	AC50	1dpf
83-79-4	Mortality	Tanguay	LEL	1dpf
70-30-4	Mortality	Tanguay	LEL	1dpf
